院校代码,学校名,所在地,城市,办学性质,学校类型,标签,科目,批次,人数,2022分数,2021分数,2020分数,2022最低位次,2021最低位次,2020最低位次
1096,北京师范大学,北京,北京,公立,师范,"双一流,985,211",文,本科一批,17,608,653,627,378,280,267
2521,南开大学,天津,天津,公立,综合,"双一流,985,211",文,本科一批,30,608,649,622,372,378,420
3687,中国海洋大学,山东,青岛,公立,综合,"双一流,985,211",理,本科一批,76,608,618,633,8393,8322,8473
3724,中央财经大学(中外合作),北京,北京,公立,财经,"双一流,211,国家重点",理,本科一批,7,608,617,628,8318,8584,10077
1072,北京交通大学,北京,北京,公立,理工,"双一流,211,国家重点",理,本科一批,114,607,615,636,8909,9131,7591
1245,重庆大学(中外合作),重庆,重庆,公立,综合,"双一流,985,211",理,本科一批,5,607,616,628,8654,8851,10077
2993,四川大学,四川,成都,公立,综合,"双一流,985,211",理,本科一批,193,607,631,649,8659,5260,4403
3166,同济大学,上海,上海,公立,综合,"双一流,985,211",文,本科一批,16,607,651,624,403,331,364
1115,北京邮电大学(宏福校区),北京,北京,公立,理工,"211,国家重点,中央部属",理,本科一批,31,606,612,629,9040,9989,9715
2047,华北电力大学,北京,北京,公立,理工,"双一流,211,国家重点",理,本科一批,103,606,615,631,9090,9131,9101
3288,西安交通大学(医学试验班),陕西,西安,公立,综合,"双一流,985,211",理,本科一批,37,606,516,,8920,65645,
1063,北京工业大学,北京,北京,公立,理工,"双一流,211,保研资格",理,本科一批,13,605,614,633,9461,9399,8473
2504,南京师范大学,江苏,南京,公立,师范,"双一流,211,保研资格",理,本科一批,56,604,614,629,9902,9399,9715
1103,北京外国语大学,北京,北京,公立,语言,"双一流,211,国家重点",理,本科一批,12,603,629,645,10070,5662,5249
1358,电子科技大学(沙河校区)(创新区中外合作),四川,成都,公立,理工,"985,211,国家重点",理,本科一批,10,603,,,9980,,
1363,东北大学,辽宁,沈阳,公立,理工,"双一流,985,211",理,本科一批,114,603,621,635,10036,7501,7911
1375,东南大学,江苏,南京,公立,综合,"双一流,985,211",文,本科一批,12,603,644,617,546,574,654
2054,华东理工大学,上海,上海,公立,理工,"双一流,211,国家重点",理,本科一批,152,603,615,633,10012,9131,8473
2859,上海财经大学,上海,上海,公立,财经,"双一流,211,国家重点",文,本科一批,12,603,649,630,547,378,217
3288,西安交通大学(中外合作),陕西,西安,公立,综合,"双一流,985,211",理,本科一批,10,603,,,10212,,
3352,厦门大学,福建,厦门,公立,综合,"双一流,985,211",文,本科一批,31,603,645,618,520,519,589
2416,中国人民解放军陆军军医大学,重庆,重庆,公立,军事,"国家重点,卓越医生",理,本科一批,21,602,599,623,10401,14530,11853
1066,北京航空航天大学,北京,北京,公立,理工,"双一流,985,211",文,本科一批,12,601,643,,636,606,
2055,华东师范大学,上海,上海,公立,师范,"双一流,985,211",文,本科一批,37,601,646,618,606,479,589
2304,兰州大学,甘肃,兰州,公立,综合,"双一流,985,211",理,本科一批,94,601,616,631,10696,8851,9101
2484,南京大学(艺术类),江苏,南京,公立,综合,"双一流,985,211",文,本科一批,5,601,,,632,,
3335,西南财经大学,四川,成都,公立,财经,"双一流,211,国家重点",理,本科一批,48,601,611,623,10625,10327,11853
2477,南方医科大学,广东,广州,公立,医药,"省重点,保研资格,卓越医生",理,本科一批,32,600,575,601,11074,25347,21549
2863,上海大学,上海,上海,公立,综合,"双一流,211,省重点",理,本科一批,178,600,613,630,11127,9675,9403
3288,西安交通大学,陕西,西安,公立,综合,"双一流,985,211",文,本科一批,8,600,640,589,671,760,3476
3721,中山大学,广东,广州,公立,综合,"双一流,985,211",文,本科一批,43,600,641,620,656,704,496
2062,华中科技大学,湖北,武汉,公立,综合,"双一流,985,211",文,本科一批,27,599,641,613,717,704,880
3241,武汉理工大学,湖北,武汉,公立,理工,"双一流,211,中央部属",理,本科一批,337,599,609,625,11391,10946,11112
2993,四川大学,四川,成都,公立,综合,"双一流,985,211",文,本科一批,12,598,641,614,774,704,810
3346,西南政法大学(中外合作),重庆,重庆,公立,政法,"国家重点,保研资格,卓越法律",理,本科一批,2,598,604,618,11756,12628,13806
3726,中央民族大学,北京,北京,公立,民族,"双一流,985,211",理,本科一批,43,598,614,629,11869,9399,9715
2129,暨南大学,广东,广州,公立,综合,"双一流,211,国家重点",理,本科一批,63,597,600,598,12130,14124,23097
3113,天津大学,天津,天津,公立,理工,"双一流,985,211",文,本科一批,17,597,639,616,804,819,707
1687,哈尔滨工程大学,黑龙江,哈尔滨,公立,理工,"双一流,211,国家重点",理,本科一批,126,596,602,620,12571,13368,13036
1808,河海大学,江苏,南京,公立,理工,"双一流,211,国家重点",理,本科一批,229,596,606,625,12491,11934,11112
2711,山东大学,山东,济南,公立,综合,"双一流,985,211",文,本科一批,49,596,638,613,866,883,880
3288,西安交通大学(工科试验班),陕西,西安,公立,综合,"双一流,985,211",理,本科一批,47,596,,,12448,,
1087,北京理工大学,北京,北京,公立,理工,"双一流,985,211",文,本科一批,10,595,636,,949,1008,
1326,大连理工大学(中外合作),辽宁,大连,公立,理工,"双一流,985,211",理,本科一批,25,595,602,614,13104,13368,15489
1327,大连理工大学(盘锦校区),辽宁,盘锦,公立,理工,"985,211,国家重点",理,本科一批,39,595,605,624,12890,12283,11477
3317,西北工业大学(中外合作),陕西,西安,公立,理工,"双一流,985,211",理,本科一批,10,595,598,615,13039,14928,15089
3714,中国政法大学,北京,北京,公立,政法,"双一流,211,国家重点",文,本科一批,41,595,634,617,951,1162,654
3717,中南大学(中外合作),湖南,长沙,公立,综合,"双一流,985,211",理,本科一批,16,595,602,616,12792,13368,14658
1097,北京师范大学(珠海校区),广东,珠海,公立,师范,"985,211,国家重点",文,本科一批,5,594,,608,1010,,1214
1115,北京邮电大学(宏福校区)(海南校区),北京,北京,公立,理工,"211,国家重点,中央部属",理,本科一批,7,594,,,13443,,
1245,重庆大学,重庆,重庆,公立,综合,"双一流,985,211",文,本科一批,10,594,638,611,982,883,1005
1379,对外经济贸易大学,北京,北京,公立,财经,"双一流,211,中央部属",文,本科一批,26,594,639,616,978,819,707
2907,上海外国语大学,上海,上海,公立,语言,"双一流,211,国家重点",文,本科一批,9,594,634,616,1037,1162,707
3273,西安电子科技大学(中外合作),陕西,西安,公立,理工,"双一流,211,国家重点",理,本科一批,30,594,600,615,13211,14124,15089
